Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2017,Chevrolet,Camaro,Subcompact,2.0,4,AS8,Z,10.9,7.7,9.5,30,222,5.0,6.0
2017,Chevrolet,Camaro,Subcompact,2.0,4,M6,Z,11.9,8.0,10.1,28,236,5.0,6.0
2017,Chevrolet,Camaro,Subcompact,3.6,6,AS8,X,12.3,8.6,10.6,27,249,5.0,6.0
2017,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,8.4,11.7,24,274,4.0,6.0
2017,Chevrolet,Camaro SS,Subcompact,6.2,8,AS8,Z,14.2,8.7,11.7,24,273,4.0,5.0
2017,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.3,9.4,12.1,23,284,4.0,5.0
2017,Chevrolet,City Express,Special purpose vehicle,2.0,4,AV,X,9.8,9.0,9.4,30,220,5.0,6.0
2017,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.0,9.2,10.7,26,252,5.0,6.0
2017,Chevrolet,Colorado,Pickup truck: Small,2.5,4,M6,X,12.2,9.2,10.9,26,254,5.0,6.0
2017,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,10.8,7.9,9.5,30,255,5.0,6.0
2017,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,274,4.0,7.0
2017,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.7,9.6,11.3,25,263,4.0,6.0
2017,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.1,8.4,10.4,27,280,4.0,6.0
2017,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14.0,9.9,12.2,23,286,4.0,7.0
2017,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,12.5,10.7,11.7,24,315,3.0,6.0
2017,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15.0,13.0,14.1,20,331,3.0,7.0
2017,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.2,8.9,12.4,23,290,4.0,5.0
2017,Chevrolet,Corvette,Two-seater,6.2,8,M7,Z,14.2,9.0,11.9,24,278,4.0,5.0
2017,Chevrolet,Corvette Z06,Two-seater,6.2,8,M7,Z,15.6,10.6,13.4,21,312,3.0,5.0
2017,Chevrolet,Equinox,Sport utility vehicle: Small,2.4,4,A6,X,11.0,7.5,9.4,30,221,5.0,6.0
2017,Chevrolet,Equinox FFV,Sport utility vehicle: Small,2.4,4,A6,X,11.0,7.5,9.4,30,221,5.0,6.0
2017,Chevrolet,Equinox FFV,Sport utility vehicle: Small,2.4,4,A6,E,15.6,11.0,13.6,21,223,5.0,6.0
2017,Chevrolet,Equinox,Sport utility vehicle: Small,3.6,6,A6,X,14.1,9.7,12.1,23,285,4.0,6.0
2017,Chevrolet,Equinox AWD,Sport utility vehicle: Small,2.4,4,A6,X,11.5,8.3,10.1,28,237,5.0,6.0
2017,Chevrolet,Equinox AWD FFV,Sport utility vehicle: Small,2.4,4,A6,X,11.5,8.3,10.1,28,237,5.0,6.0
2017,Chevrolet,Equinox AWD FFV,Sport utility vehicle: Small,2.4,4,A6,E,16.3,11.8,14.2,20,234,5.0,6.0
2017,Chevrolet,Equinox AWD,Sport utility vehicle: Small,3.6,6,A6,X,15.0,10.4,13.0,22,304,3.0,6.0
2017,Chevrolet,Impala,Full-size,2.5,4,AS6,X,10.9,7.9,9.5,30,224,5.0,6.0
2017,Chevrolet,Impala FFV,Full-size,3.6,6,AS6,X,12.5,8.3,10.6,27,249,5.0,6.0
2017,Chevrolet,Impala FFV,Full-size,3.6,6,AS6,E,17.0,11.7,14.6,19,240,5.0,6.0
2017,Chevrolet,Malibu,Mid-size,2.0,4,A9,Z,10.7,7.1,9.1,31,212,6.0,6.0
2017,Chevrolet,Silverado FFV,Pickup truck: Standard,4.3,6,A6,X,13.4,10.0,11.9,24,279,4.0,7.0
2017,Chevrolet,Silverado FFV,Pickup truck: Standard,4.3,6,A6,E,19.3,14.3,17.1,17,284,4.0,7.0
2017,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,14.6,10.3,12.7,22,297,4.0,5.0
2017,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,14.6,10.3,12.7,22,298,4.0,5.0
2017,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,19.7,13.9,17.1,17,284,4.0,5.0
2017,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,15.2,10.7,13.1,22,309,3.0,5.0
2017,Chevrolet,Silverado,Pickup truck: Standard,6.2,8,A8,Z,15.9,11.2,13.8,20,324,3.0,5.0
2017,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,4.3,6,A6,X,14.1,10.6,12.5,23,294,4.0,7.0
2017,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,4.3,6,A6,E,20.2,15.2,18.0,16,294,4.0,7.0
2017,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,15.0,10.7,13.1,22,307,3.0,5.0
2017,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,15.0,10.7,13.1,22,307,3.0,5.0
2017,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,20.7,14.4,17.9,16,315,3.0,5.0
2017,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,15.9,11.5,13.9,20,327,3.0,5.0
2017,Chevrolet,Silverado eAssist 4WD,Pickup truck: Standard,5.3,8,A8,X,14.4,11.2,13.0,22,303,3.0,5.0
2017,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A8,Z,16.0,11.7,14.1,20,330,3.0,5.0
2017,Chevrolet,Sonic,Compact,1.8,4,AS6,X,9.7,6.9,8.4,34,197,6.0,6.0
2017,Chevrolet,Sonic 5,Station wagon: Small,1.8,4,AS6,X,9.7,6.9,8.4,34,197,6.0,6.0
2017,Chevrolet,Suburban,Sport utility vehicle: Standard,5.3,8,A6,X,15.1,10.4,13.0,22,305,3.0,5.0
2017,Chevrolet,Suburban FFV,Sport utility vehicle: Standard,5.3,8,A6,X,15.1,10.4,13.0,22,305,3.0,5.0
2017,Chevrolet,Suburban FFV,Sport utility vehicle: Standard,5.3,8,A6,E,20.0,13.5,17.1,17,284,4.0,5.0
2017,Chevrolet,Suburban 4WD,Sport utility vehicle: Standard,5.3,8,A6,X,15.4,10.8,13.3,21,312,3.0,5.0
2017,Chevrolet,Suburban 4WD FFV,Sport utility vehicle: Standard,5.3,8,A6,X,15.4,10.8,13.3,21,312,3.0,5.0
2017,Chevrolet,Suburban 4WD FFV,Sport utility vehicle: Standard,5.3,8,A6,E,22.1,15.4,19.1,15,317,3.0,5.0
2017,Chevrolet,Tahoe,Sport utility vehicle: Standard,5.3,8,A6,X,15.1,10.4,13.0,22,305,3.0,5.0
2017,Chevrolet,Tahoe FFV,Sport utility vehicle: Standard,5.3,8,A6,X,15.1,10.4,13.0,22,305,3.0,5.0
2017,Chevrolet,Tahoe FFV,Sport utility vehicle: Standard,5.3,8,A6,E,20.0,13.5,17.1,17,284,4.0,5.0
2017,Chevrolet,Tahoe 4WD,Sport utility vehicle: Standard,5.3,8,A6,X,15.2,10.8,13.2,21,310,3.0,5.0
2017,Chevrolet,Tahoe 4WD FFV,Sport utility vehicle: Standard,5.3,8,A6,X,15.2,10.8,13.2,21,310,3.0,5.0
2017,Chevrolet,Tahoe 4WD FFV,Sport utility vehicle: Standard,5.3,8,A6,E,20.8,14.5,18.0,16,299,3.0,5.0
2017,Chevrolet,Traverse,Sport utility vehicle: Standard,3.6,6,A6,X,15.7,10.6,13.4,21,315,3.0,5.0
2017,Chevrolet,Traverse AWD,Sport utility vehicle: Standard,3.6,6,A6,X,16.0,10.9,13.7,21,322,3.0,5.0
2017,Chevrolet,Trax AWD,Sport utility vehicle: Small,1.4,4,AS6,X,9.8,7.7,8.8,32,208,6.0,6.0
2017,Chrysler,200 FFV,Mid-size,2.4,4,A9,X,10.2,6.6,8.6,33,201,6.0,6.0
2017,Chrysler,200 FFV,Mid-size,3.6,6,A9,X,12.4,7.6,10.2,28,241,5.0,6.0
2017,Chrysler,200 FFV,Mid-size,3.6,6,A9,E,16.8,10.4,13.9,20,230,5.0,6.0
2017,Chrysler,200 AWD FFV,Mid-size,3.6,6,A9,X,12.8,8.3,10.8,26,252,5.0,6.0
2017,Chrysler,200 AWD FFV,Mid-size,3.6,6,A9,E,17.1,11.1,14.4,20,237,5.0,6.0
2017,Chrysler,300,Full-size,3.6,6,A8,X,12.4,7.8,10.3,27,242,5.0,6.0
2017,Chrysler,300 (MDS),Full-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,4.0,6.0
2017,Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11.0,26,258,4.0,6.0
2017,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,X,12.8,8.7,11.0,26,258,4.0,6.0
2017,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,E,17.6,12.0,15.0,19,248,5.0,6.0
2017,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.9,8.4,10.9,26,257,5.0,6.0
2017,Chrysler,Pacifica (Stop-Start),Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,5.0,6.0
2017,Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,27,242,5.0,6.0
2017,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,4.0,6.0
2017,Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,22,307,3.0,5.0
2017,Dodge,Challenger GT,Mid-size,3.6,6,A8,X,12.8,8.7,11.0,26,258,4.0,6.0
